locus_tag	ftype	length_bp	gene	EC_number	COG	product
EKCPCKJH_01144	CDS	744				hypothetical protein
EKCPCKJH_01145	CDS	228				hypothetical protein
EKCPCKJH_01146	CDS	1605				hypothetical protein
EKCPCKJH_01147	CDS	597				hypothetical protein
EKCPCKJH_01148	CDS	1317	intA_1		COG0582	Prophage integrase IntA
EKCPCKJH_01149	CDS	1479				hypothetical protein
EKCPCKJH_01150	CDS	4581				putative autotransporter
EKCPCKJH_01151	tmRNA	363	ssrA			transfer-messenger RNA, SsrA
EKCPCKJH_01152	CDS	126				hypothetical protein
EKCPCKJH_01153	CDS	483	smpB		COG0691	SsrA-binding protein
EKCPCKJH_01154	CDS	450	ratA		COG2867	Ribosome association toxin RatA
EKCPCKJH_01155	CDS	291				hypothetical protein
EKCPCKJH_01156	CDS	342	bamE		COG2913	Outer membrane protein assembly factor BamE
EKCPCKJH_01157	CDS	1662	recN		COG0497	DNA repair protein RecN
EKCPCKJH_01158	CDS	879	nadK	2.7.1.23	COG0061	NAD kinase
EKCPCKJH_01159	CDS	591	grpE		COG0576	Protein GrpE
EKCPCKJH_01160	CDS	606				hypothetical protein
EKCPCKJH_01161	CDS	1242				hypothetical protein
EKCPCKJH_01162	CDS	867	ypjD		COG4137	Inner membrane protein YpjD
EKCPCKJH_01163	CDS	1362	ffh		COG0541	Signal recognition particle protein
EKCPCKJH_01164	CDS	249	rpsP		COG0228	30S ribosomal protein S16
EKCPCKJH_01165	CDS	549	rimM		COG0806	Ribosome maturation factor RimM
EKCPCKJH_01166	CDS	768	trmD	2.1.1.228	COG0336	tRNA (guanine-N(1)-)-methyltransferase
EKCPCKJH_01167	CDS	348	rplS		COG0335	50S ribosomal protein L19
EKCPCKJH_01168	CDS	483	pal_1			Peptidoglycan-associated lipoprotein
EKCPCKJH_01169	CDS	1227	dgcN	2.7.7.65	COG2199	Diguanylate cyclase DgcN
EKCPCKJH_01170	CDS	519				hypothetical protein
EKCPCKJH_01171	CDS	363				hypothetical protein
EKCPCKJH_01172	CDS	1071	aroF	2.5.1.54	COG0722	Phospho-2-dehydro-3-deoxyheptonate aldolase, Tyr-sensitive
EKCPCKJH_01173	CDS	1122	tyrA		COG0287	T-protein
EKCPCKJH_01174	CDS	1161	pheA		COG0077	Bifunctional chorismate mutase/prephenate dehydratase
EKCPCKJH_01175	CDS	342	raiA		COG1544	Ribosome-associated inhibitor A
EKCPCKJH_01176	CDS	738	bamD		COG4105	Outer membrane protein assembly factor BamD
EKCPCKJH_01177	CDS	981	rluD	5.4.99.23	COG0564	Ribosomal large subunit pseudouridine synthase D
EKCPCKJH_01178	CDS	732	yfiH	1.10.3.-	COG1496	Polyphenol oxidase
EKCPCKJH_01179	CDS	2574	clpB		COG0542	Chaperone protein ClpB
EKCPCKJH_01180	rRNA	1538				16S ribosomal RNA
EKCPCKJH_01181	tRNA	76				tRNA-Glu(ttc)
EKCPCKJH_01182	rRNA	2901				23S ribosomal RNA
EKCPCKJH_01183	rRNA	111				5S ribosomal RNA
EKCPCKJH_01184	CDS	1299	kgtP			Alpha-ketoglutarate permease
EKCPCKJH_01185	CDS	273				hypothetical protein
EKCPCKJH_01186	CDS	1356	pssA	2.7.8.8	COG1502	CDP-diacylglycerol--serine O-phosphatidyltransferase
EKCPCKJH_01187	CDS	2661	patZ	2.3.1.-	COG0454	Peptidyl-lysine N-acetyltransferase PatZ
EKCPCKJH_01188	CDS	699				hypothetical protein
EKCPCKJH_01189	CDS	420	trxC	1.8.1.8	COG0526	Thioredoxin 2
EKCPCKJH_01190	CDS	1038	yfiF	2.1.1.-	COG0566	putative tRNA/rRNA methyltransferase YfiF
EKCPCKJH_01191	CDS	690	ung	3.2.2.27	COG0692	Uracil-DNA glycosylase
EKCPCKJH_01192	CDS	384	grcA		COG3445	Autonomous glycyl radical cofactor
EKCPCKJH_01193	CDS	588	eamB		COG1280	Cysteine/O-acetylserine efflux protein
EKCPCKJH_01194	CDS	882	yofA		COG0583	HTH-type transcriptional regulator YofA
EKCPCKJH_01195	CDS	1335	srmB_1	3.6.4.13	COG0513	ATP-dependent RNA helicase SrmB
EKCPCKJH_01196	CDS	738	yfiC	2.1.1.223	COG4123	tRNA1(Val) (adenine(37)-N6)-methyltransferase
EKCPCKJH_01197	CDS	1623	nadB	1.4.3.16	COG0029	L-aspartate oxidase
EKCPCKJH_01198	CDS	576	rpoE		COG1595	ECF RNA polymerase sigma-E factor
EKCPCKJH_01199	CDS	651	rseA		COG3073	Anti-sigma-E factor RseA
EKCPCKJH_01200	CDS	957	rseB		COG3026	Sigma-E factor regulatory protein RseB
EKCPCKJH_01201	CDS	480	rseC		COG3086	Protein RseC
EKCPCKJH_01202	CDS	1800	lepA	3.6.5.-	COG0481	Elongation factor 4
EKCPCKJH_01203	CDS	975	lepB	3.4.21.89	COG0681	Signal peptidase I
EKCPCKJH_01204	CDS	681	rnc	3.1.26.3	COG0571	Ribonuclease 3
EKCPCKJH_01205	CDS	906	era_2		COG1159	GTPase Era
EKCPCKJH_01206	CDS	729	recO		COG1381	DNA repair protein RecO
EKCPCKJH_01207	CDS	732	pdxJ	2.6.99.2	COG0854	Pyridoxine 5'-phosphate synthase
EKCPCKJH_01208	CDS	381	acpS	2.7.8.7	COG0736	Holo-[acyl-carrier-protein] synthase
EKCPCKJH_01209	CDS	261	yfhL		COG1145	Ferredoxin YfhL
EKCPCKJH_01210	CDS	849	murR_1		COG1737	HTH-type transcriptional regulator MurR
EKCPCKJH_01211	CDS	636	pgpC	3.1.3.27	COG0560	Phosphatidylglycerophosphatase C
EKCPCKJH_01212	CDS	504	tadA	3.5.4.33	COG0590	tRNA-specific adenosine deaminase
EKCPCKJH_01213	CDS	1557	mltF_1	4.2.2.-	COG4623	Membrane-bound lytic murein transglycosylase F
EKCPCKJH_01214	CDS	3888	purL	6.3.5.3	COG0046	Phosphoribosylformylglycinamidine synthase
EKCPCKJH_01215	CDS	1383	qseE	2.7.13.3		Sensor histidine kinase QseE
EKCPCKJH_01216	CDS	714	qseG			Quorum-sensing regulator protein G
EKCPCKJH_01217	CDS	1335	qseF		COG2204	Transcriptional regulatory protein QseF
EKCPCKJH_01218	CDS	339	glnB		COG0347	Nitrogen regulatory protein P-II 1
EKCPCKJH_01219	CDS	1191	hmp	1.14.12.17	COG1017	Flavohemoprotein
EKCPCKJH_01220	CDS	1254	glyA	2.1.2.1	COG0112	Serine hydroxymethyltransferase
EKCPCKJH_01221	CDS	1194	mlc_1		COG1940	Protein mlc
EKCPCKJH_01222	CDS	3282	lapB_1			Lipopolysaccharide assembly protein B
EKCPCKJH_01223	CDS	984	yphF		COG1879	ABC transporter periplasmic-binding protein YphF
EKCPCKJH_01224	CDS	1512	mglA_1	7.5.2.11	COG1129	Galactose/methyl galactoside import ATP-binding protein MglA
EKCPCKJH_01225	CDS	999	rbsC_1		COG1172	Ribose import permease protein RbsC
EKCPCKJH_01226	CDS	1062	tdh_2	1.1.1.103		L-threonine 3-dehydrogenase
EKCPCKJH_01227	CDS	873	yphB		COG2017	putative protein YphB
EKCPCKJH_01228	CDS	423	yphA		COG2259	Inner membrane protein YphA
EKCPCKJH_01229	CDS	1203	hcaD	1.18.1.3	COG0446	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin--NAD(+) reductase component
EKCPCKJH_01230	CDS	813	hcaB	1.3.1.87		3-phenylpropionate-dihydrodiol/cinnamic acid-dihydrodiol dehydrogenase
EKCPCKJH_01231	CDS	321	hcaC		COG2146	3-phenylpropionate/cinnamic acid dioxygenase ferredoxin subunit
EKCPCKJH_01232	CDS	519	hcaF	1.14.12.19	COG5517	3-phenylpropionate/cinnamic acid dioxygenase subunit beta
EKCPCKJH_01233	CDS	1362	hcaE	1.14.12.19	COG4638	3-phenylpropionate/cinnamic acid dioxygenase subunit alpha
EKCPCKJH_01234	CDS	891	hcaR_1			Hca operon transcriptional activator HcaR
EKCPCKJH_01235	CDS	1140	hcaT			putative 3-phenylpropionic acid transporter
EKCPCKJH_01236	CDS	1281				hypothetical protein
EKCPCKJH_01237	CDS	855			COG1073	putative protein
EKCPCKJH_01238	CDS	804	suhB	3.1.3.25	COG0483	Inositol-1-monophosphatase
EKCPCKJH_01239	CDS	741	trmJ	2.1.1.200	COG0565	tRNA (cytidine/uridine-2'-O-)-methyltransferase TrmJ
EKCPCKJH_01240	CDS	489	iscR		COG1959	HTH-type transcriptional regulator IscR
EKCPCKJH_01241	CDS	1215	iscS	2.8.1.7	COG1104	Cysteine desulfurase IscS
EKCPCKJH_01242	CDS	387	iscU		COG0822	Iron-sulfur cluster assembly scaffold protein IscU
EKCPCKJH_01243	CDS	324	iscA		COG0316	Iron-binding protein IscA
EKCPCKJH_01244	CDS	516	hscB		COG1076	Co-chaperone protein HscB
EKCPCKJH_01245	CDS	1851	hscA		COG0443	Chaperone protein HscA
EKCPCKJH_01246	CDS	336	fdx		COG0633	2Fe-2S ferredoxin
EKCPCKJH_01247	CDS	201	iscX		COG2975	Protein IscX
EKCPCKJH_01248	CDS	1284	pepB	3.4.11.23	COG0260	Peptidase B
EKCPCKJH_01249	CDS	777				hypothetical protein
EKCPCKJH_01250	CDS	846	sseA	2.8.1.2	COG2897	3-mercaptopyruvate sulfurtransferase
EKCPCKJH_01251	CDS	4959	yfhM		COG2373	Alpha-2-macroglobulin
EKCPCKJH_01252	CDS	2313	pbpC		COG4953	Penicillin-binding protein 1C
EKCPCKJH_01253	CDS	432	ndk	2.7.4.6	COG0105	Nucleoside diphosphate kinase
EKCPCKJH_01254	CDS	1155	rlmN	2.1.1.192	COG0820	Dual-specificity RNA methyltransferase RlmN
EKCPCKJH_01255	CDS	1014	rodZ		COG1426	Cytoskeleton protein RodZ
EKCPCKJH_01256	CDS	1119	ispG	1.17.7.3	COG0821	4-hydroxy-3-methylbut-2-en-1-yl diphosphate synthase (flavodoxin)
EKCPCKJH_01257	CDS	1275	hisS	6.1.1.21	COG0124	Histidine--tRNA ligase
EKCPCKJH_01258	CDS	621				hypothetical protein
EKCPCKJH_01259	CDS	1179	bamB		COG1520	Outer membrane protein assembly factor BamB
EKCPCKJH_01260	CDS	1473	der		COG1160	GTPase Der
EKCPCKJH_01261	CDS	216	yfgJ			putative protein YfgJ
EKCPCKJH_01262	CDS	1371	xseA	3.1.11.6	COG1570	Exodeoxyribonuclease 7 large subunit
EKCPCKJH_01263	CDS	1467	guaB	1.1.1.205	COG0516	Inosine-5'-monophosphate dehydrogenase
EKCPCKJH_01264	CDS	1578	guaA	6.3.5.2	COG0518	GMP synthase [glutamine-hydrolyzing]
EKCPCKJH_01265	CDS	540				hypothetical protein
EKCPCKJH_01266	CDS	516				hypothetical protein
EKCPCKJH_01267	CDS	174	yfgG			Protein YfgG
EKCPCKJH_01268	CDS	153				hypothetical protein
EKCPCKJH_01269	CDS	2244	pdeF	3.1.4.52		Cyclic di-GMP phosphodiesterase PdeF
EKCPCKJH_01270	CDS	1542	ppx	3.6.1.11	COG0248	Exopolyphosphatase
EKCPCKJH_01271	CDS	2067	ppk	2.7.4.1	COG0855	Polyphosphate kinase
EKCPCKJH_01272	CDS	639	purN	2.1.2.2	COG0299	Phosphoribosylglycinamide formyltransferase
EKCPCKJH_01273	CDS	1038	purM	6.3.3.1	COG0150	Phosphoribosylformylglycinamidine cyclo-ligase
EKCPCKJH_01274	CDS	627	upp	2.4.2.9	COG0035	Uracil phosphoribosyltransferase
EKCPCKJH_01275	CDS	1290	uraA		COG2233	Uracil permease
EKCPCKJH_01276	CDS	747	hda		COG0593	DnaA regulatory inactivator Hda
EKCPCKJH_01277	CDS	360	yfgD		COG1393	putative protein YfgD
EKCPCKJH_01278	CDS	1464	bepA	3.4.-.-	COG4783	Beta-barrel assembly-enhancing protease
EKCPCKJH_01279	CDS	1062	yhhT_2		COG0628	Putative transport protein YhhT
EKCPCKJH_01280	CDS	732	focB		COG2116	putative formate transporter 2
EKCPCKJH_01281	CDS	2013	hyfR		COG3604	DNA-binding transcriptional activator HyfR
EKCPCKJH_01282	CDS	414				hypothetical protein
EKCPCKJH_01283	CDS	759	hycG_2		COG3260	Formate hydrogenlyase subunit 7
EKCPCKJH_01284	CDS	540	ndhI_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit I, chloroplastic
EKCPCKJH_01285	CDS	1716	hyfG	1.-.-.-	COG3261	Hydrogenase-4 component G
EKCPCKJH_01286	CDS	1581	ndhB_2	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
EKCPCKJH_01287	CDS	651	hyfE	1.-.-.-	COG4237	Hydrogenase-4 component E
EKCPCKJH_01288	CDS	369	ndhB_3	7.1.1.-		NAD(P)H-quinone oxidoreductase subunit 2, chloroplastic
EKCPCKJH_01289	CDS	831	nuoL_1	7.1.1.-	COG1009	NADH-quinone oxidoreductase subunit L
EKCPCKJH_01290	CDS	948	hyfC	1.-.-.-	COG0650	Hydrogenase-4 component C
EKCPCKJH_01291	CDS	1350	hyfB_1	1.-.-.-	COG0651	Hydrogenase-4 component B
EKCPCKJH_01292	CDS	672	hyfB_2	1.-.-.-	COG0651	Hydrogenase-4 component B
EKCPCKJH_01293	CDS	618	hyfA_5	1.-.-.-	COG1142	Hydrogenase-4 component A
EKCPCKJH_01294	CDS	471	bcp	1.11.1.15	COG1225	Peroxiredoxin Bcp
EKCPCKJH_01295	CDS	573	gcvR		COG2716	Glycine cleavage system transcriptional repressor
EKCPCKJH_01296	CDS	879	dapA	4.3.3.7	COG0329	4-hydroxy-tetrahydrodipicolinate synthase
EKCPCKJH_01297	CDS	1035	bamC		COG3317	Outer membrane protein assembly factor BamC
EKCPCKJH_01298	CDS	231				hypothetical protein
EKCPCKJH_01299	CDS	714	purC	6.3.2.6	COG0152	Phosphoribosylaminoimidazole-succinocarboxamide synthase
EKCPCKJH_01300	CDS	228	vapB		COG4456	Antitoxin VapB
EKCPCKJH_01301	CDS	399	vapC	3.1.-.-	COG1487	tRNA(fMet)-specific endonuclease VapC
EKCPCKJH_01302	CDS	864			COG2321	putative protein
EKCPCKJH_01303	CDS	2016	tmcA	2.3.1.193	COG1444	tRNA(Met) cytidine acetyltransferase TmcA
EKCPCKJH_01304	CDS	699				hypothetical protein
EKCPCKJH_01305	CDS	201				hypothetical protein
EKCPCKJH_01306	CDS	1128	dapE	3.5.1.18	COG0624	Succinyl-diaminopimelate desuccinylase
EKCPCKJH_01307	CDS	357	yffB		COG1393	Protein YffB
EKCPCKJH_01308	CDS	3114	acrB_1		COG0841	Multidrug efflux pump subunit AcrB
EKCPCKJH_01309	CDS	1701	narQ	2.7.13.3		Nitrate/nitrite sensor protein NarQ
EKCPCKJH_01310	CDS	1980		1.18.1.2		Ferredoxin--NADP reductase
EKCPCKJH_01311	CDS	576	nudK	3.6.1.-		GDP-mannose pyrophosphatase NudK
EKCPCKJH_01312	CDS	1044				hypothetical protein
EKCPCKJH_01313	CDS	2004	tktB	2.2.1.1	COG0021	Transketolase 2
EKCPCKJH_01314	CDS	951	tal	2.2.1.2		Transaldolase
EKCPCKJH_01315	CDS	2280	maeB	1.1.1.40	COG0280	NADP-dependent malic enzyme
EKCPCKJH_01316	CDS	336	eutS		COG4810	Ethanolamine utilization protein EutS
EKCPCKJH_01317	CDS	480	pduV_1		COG4917	Propanediol utilization protein PduV
EKCPCKJH_01318	CDS	702	eutQ		COG4766	Ethanolamine utilization protein EutQ
EKCPCKJH_01319	CDS	804				hypothetical protein
EKCPCKJH_01320	CDS	1017	eutD		COG0280	Ethanolamine utilization protein EutD
EKCPCKJH_01321	CDS	336	eutM		COG4577	Ethanolamine utilization protein EutM
EKCPCKJH_01322	CDS	288	eutN		COG4576	Ethanolamine utilization protein EutN
EKCPCKJH_01323	CDS	1404	proA_1	1.2.1.41		Gamma-glutamyl phosphate reductase
EKCPCKJH_01324	CDS	837	ftsA_1			Cell division protein FtsA
EKCPCKJH_01325	CDS	1188	mdh_2	1.1.1.244		NAD-dependent methanol dehydrogenase
EKCPCKJH_01326	CDS	1227				hypothetical protein
EKCPCKJH_01327	CDS	1404				hypothetical protein
EKCPCKJH_01328	CDS	1362	eutB	4.3.1.7	COG4303	Ethanolamine ammonia-lyase heavy chain
EKCPCKJH_01329	CDS	888	eutC	4.3.1.7	COG4302	Ethanolamine ammonia-lyase light chain
EKCPCKJH_01330	CDS	660	eutL		COG4816	Ethanolamine utilization protein EutL
EKCPCKJH_01331	CDS	501	eutK		COG4577	Ethanolamine utilization protein EutK
EKCPCKJH_01332	CDS	1053				hypothetical protein
EKCPCKJH_01333	CDS	900	hemF	1.3.3.3	COG0408	Oxygen-dependent coproporphyrinogen-III oxidase
EKCPCKJH_01334	CDS	870	amiA	3.5.1.28	COG0860	N-acetylmuramoyl-L-alanine amidase AmiA
EKCPCKJH_01335	CDS	426	ypeA	2.3.1.-	COG0456	Acetyltransferase YpeA
EKCPCKJH_01336	CDS	450	yfeZ			Inner membrane protein YfeZ
EKCPCKJH_01337	CDS	576	yfeY			putative protein YfeY
EKCPCKJH_01338	CDS	900	yfeX	1.11.1.-	COG2837	Dye-decolorizing peroxidase YfeX
EKCPCKJH_01339	CDS	1305	yfeW	3.4.16.4	COG1680	Putative D-alanyl-D-alanine carboxypeptidase
EKCPCKJH_01340	CDS	1425	murP		COG2190	PTS system N-acetylmuramic acid-specific EIIBC component
EKCPCKJH_01341	CDS	897	murQ	4.2.1.126	COG2103	N-acetylmuramic acid 6-phosphate etherase
EKCPCKJH_01342	CDS	858	murR_2		COG1737	HTH-type transcriptional regulator MurR
EKCPCKJH_01343	CDS	792	ucpA	1.-.-.-		Oxidoreductase UcpA
EKCPCKJH_01344	CDS	1017	cysP		COG4150	Thiosulfate-binding protein
EKCPCKJH_01345	CDS	834	cysT		COG0555	Sulfate transport system permease protein CysT
EKCPCKJH_01346	CDS	876	cysW		COG4208	Sulfate transport system permease protein CysW
EKCPCKJH_01347	CDS	1098	cysA	7.3.2.3	COG1118	Sulfate/thiosulfate import ATP-binding protein CysA
EKCPCKJH_01348	CDS	912	cysM	2.5.1.47	COG0031	Cysteine synthase B
EKCPCKJH_01349	CDS	369				hypothetical protein
EKCPCKJH_01350	CDS	852	pdxK	2.7.1.35	COG2240	Pyridoxine/pyridoxal/pyridoxamine kinase
EKCPCKJH_01351	CDS	510	crr_2		COG2190	PTS system glucose-specific EIIA component
EKCPCKJH_01352	CDS	1728	ptsI	2.7.3.9	COG1080	Phosphoenolpyruvate-protein phosphotransferase
EKCPCKJH_01353	CDS	258	ptsH		COG1925	Phosphocarrier protein HPr
EKCPCKJH_01354	CDS	972	cysK	2.5.1.47	COG0031	Cysteine synthase A
EKCPCKJH_01355	CDS	762	cysZ		COG2981	Sulfate transporter CysZ
EKCPCKJH_01356	CDS	987	zipA		COG3115	Cell division protein ZipA
EKCPCKJH_01357	CDS	2016	ligA	6.5.1.2	COG0272	DNA ligase
EKCPCKJH_01358	CDS	219				hypothetical protein
EKCPCKJH_01359	CDS	999				hypothetical protein
EKCPCKJH_01360	CDS	927	cynR_2			HTH-type transcriptional regulator CynR
EKCPCKJH_01361	CDS	765				hypothetical protein
EKCPCKJH_01362	CDS	834	xapA	2.4.2.1	COG0005	Purine nucleoside phosphorylase 2
EKCPCKJH_01363	CDS	1257	xapB			Xanthosine permease
EKCPCKJH_01364	CDS	885	hcaR_2			Hca operon transcriptional activator HcaR
EKCPCKJH_01365	tRNA	76				tRNA-Lys(ttt)
EKCPCKJH_01366	tRNA	76				tRNA-Val(tac)
EKCPCKJH_01367	tRNA	76				tRNA-Val(tac)
EKCPCKJH_01368	CDS	1416	gltX	6.1.1.17	COG0008	Glutamate--tRNA ligase
EKCPCKJH_01369	CDS	372				hypothetical protein
EKCPCKJH_01370	CDS	360				hypothetical protein
EKCPCKJH_01371	tRNA	76				tRNA-Ala(ggc)
EKCPCKJH_01372	tRNA	76				tRNA-Ala(ggc)
EKCPCKJH_01373	tRNA	76				tRNA-Ala(ggc)
EKCPCKJH_01374	CDS	2190	pdeA	3.1.4.52		putative cyclic di-GMP phosphodiesterase PdeA
EKCPCKJH_01375	CDS	1203	nupC		COG1972	Nucleoside permease NupC
EKCPCKJH_01376	CDS	1239	mntH		COG1914	Divalent metal cation transporter MntH
EKCPCKJH_01377	CDS	327				hypothetical protein
EKCPCKJH_01378	CDS	1257	yfeO			Putative ion-transport protein YfeO
EKCPCKJH_01379	CDS	966	glk	2.7.1.2	COG0837	Glucokinase
EKCPCKJH_01380	CDS	327	fryB_1	2.7.1.202	COG1445	PTS system fructose-like EIIB component 1
EKCPCKJH_01381	CDS	1248	fryC		COG1299	Fructose-like permease IIC component 1
EKCPCKJH_01382	CDS	1086	ypdF	3.4.11.-	COG0006	Aminopeptidase YpdF
EKCPCKJH_01383	CDS	1038	ypdE	3.4.11.-	COG1363	Aminopeptidase YpdE
EKCPCKJH_01384	CDS	2496	fryA_1		COG1080	Multiphosphoryl transfer protein 1
EKCPCKJH_01385	CDS	858	rhaR_3			HTH-type transcriptional activator RhaR
EKCPCKJH_01386	CDS	735	ypdB		COG3279	Transcriptional regulatory protein YpdB
EKCPCKJH_01387	CDS	1698	ypdA	2.7.13.3	COG3275	Sensor histidine kinase YpdA
EKCPCKJH_01388	CDS	1239	alaC	2.6.1.2	COG0436	Glutamate-pyruvate aminotransferase AlaC
EKCPCKJH_01389	CDS	921	lpxP	2.3.1.242	COG1560	Lipid A biosynthesis palmitoleoyltransferase
EKCPCKJH_01390	CDS	243				hypothetical protein
EKCPCKJH_01391	CDS	276				hypothetical protein
EKCPCKJH_01392	CDS	633	yfdX			Protein YfdX
EKCPCKJH_01393	CDS	1251	frc	2.8.3.16	COG1804	Formyl-CoA:oxalate CoA-transferase
EKCPCKJH_01394	CDS	1695	oxc	4.1.1.8	COG0028	Oxalyl-CoA decarboxylase
EKCPCKJH_01395	CDS	945				hypothetical protein
EKCPCKJH_01396	CDS	1146	yfdE	2.8.3.19	COG1804	Acetyl-CoA:oxalate CoA-transferase
EKCPCKJH_01397	CDS	3594	evgS	2.7.13.3	COG0784	Sensor protein EvgS
EKCPCKJH_01398	CDS	615	evgA			DNA-binding transcriptional activator EvgA
EKCPCKJH_01399	CDS	1164	emrK		COG1566	putative multidrug resistance protein EmrK
EKCPCKJH_01400	CDS	1539	emrY			putative multidrug resistance protein EmrY
EKCPCKJH_01401	CDS	1329	dsdA	4.3.1.18	COG3048	D-serine dehydratase
EKCPCKJH_01402	CDS	1338	dsdX			D-serine transporter DsdX
EKCPCKJH_01403	CDS	936	dsdC		COG0583	HTH-type transcriptional regulator DsdC
EKCPCKJH_01404	CDS	201	torI			Response regulator inhibitor for tor operon
EKCPCKJH_01405	CDS	345				hypothetical protein
EKCPCKJH_01406	CDS	834			COG3385	IS4 family transposase ISSfl9
EKCPCKJH_01407	CDS	531				hypothetical protein
EKCPCKJH_01408	CDS	318				hypothetical protein
EKCPCKJH_01409	CDS	1332	cdgI_1	2.7.7.65	COG2199	putative diguanylate cyclase CdgI
EKCPCKJH_01410	CDS	1080			COG1073	putative protein
EKCPCKJH_01411	CDS	1149	adh2	1.1.1.192	COG1979	Long-chain-alcohol dehydrogenase 2
EKCPCKJH_01412	CDS	915	rhaS_2			HTH-type transcriptional activator RhaS
EKCPCKJH_01413	CDS	1158	intS_1		COG0582	Prophage integrase IntS
EKCPCKJH_01414	tRNA	75				tRNA-Arg(cct)
EKCPCKJH_01415	CDS	933	yfdC		COG2116	Inner membrane protein YfdC
EKCPCKJH_01416	CDS	756	mlaA		COG2853	Intermembrane phospholipid transport system lipoprotein MlaA
EKCPCKJH_01417	CDS	1059				hypothetical protein
EKCPCKJH_01418	CDS	1341	fadL		COG2067	Long-chain fatty acid transport protein
EKCPCKJH_01419	CDS	285				hypothetical protein
EKCPCKJH_01420	CDS	1311	fadI	2.3.1.16	COG0183	3-ketoacyl-CoA thiolase FadI
EKCPCKJH_01421	CDS	2145	fadJ		COG1024	Fatty acid oxidation complex subunit alpha
EKCPCKJH_01422	CDS	486	sixA	3.1.3.-	COG2062	Phosphohistidine phosphatase SixA
EKCPCKJH_01423	CDS	564	yfcV			putative fimbrial-like protein YfcV
EKCPCKJH_01424	CDS	2646	papC_2		COG3188	Outer membrane usher protein PapC
EKCPCKJH_01425	CDS	753	yfcS		COG3121	putative fimbrial chaperone YfcS
EKCPCKJH_01426	CDS	510	yfcR			putative fimbrial-like protein YfcR
EKCPCKJH_01427	CDS	489	yfcQ			putative fimbrial-like protein YfcQ
EKCPCKJH_01428	CDS	540	yfcP			putative fimbrial-like protein YfcP
EKCPCKJH_01429	CDS	855	yfcO			putative protein YfcO
EKCPCKJH_01430	CDS	552	mutS2	3.1.-.-		Endonuclease MutS2
EKCPCKJH_01431	CDS	933	prmB	2.1.1.298	COG2890	50S ribosomal protein L3 glutamine methyltransferase
EKCPCKJH_01432	CDS	1086	aroC	4.2.3.5	COG0082	Chorismate synthase
EKCPCKJH_01433	CDS	825	mepA	3.4.24.-	COG3770	Penicillin-insensitive murein endopeptidase
EKCPCKJH_01434	CDS	810	yfcA		COG0730	putative membrane transporter protein YfcA
EKCPCKJH_01435	CDS	549	epmC	1.14.-.-	COG3101	Elongation factor P hydroxylase
EKCPCKJH_01436	CDS	279				hypothetical protein
EKCPCKJH_01437	CDS	2007	mnmC		COG0665	tRNA 5-methylaminomethyl-2-thiouridine biosynthesis bifunctional protein MnmC
EKCPCKJH_01438	CDS	1221	fabB	2.3.1.41	COG0304	3-oxoacyl-[acyl-carrier-protein] synthase 1
EKCPCKJH_01439	CDS	1179	yfcJ			putative MFS-type transporter YfcJ
EKCPCKJH_01440	CDS	996	flk			Flagellar regulator flk
EKCPCKJH_01441	CDS	1137	pdxB	1.1.1.290	COG0111	Erythronate-4-phosphate dehydrogenase
EKCPCKJH_01442	CDS	1014	usg		COG0136	USG-1 protein
EKCPCKJH_01443	CDS	813	truA	5.4.99.12	COG0101	tRNA pseudouridine synthase A
EKCPCKJH_01444	CDS	660	dedA		COG0586	Protein DedA
EKCPCKJH_01445	CDS	915	accD	2.1.3.15	COG0777	Acetyl-coenzyme A carboxylase carboxyl transferase subunit beta
EKCPCKJH_01446	CDS	1269	folC	6.3.2.12	COG0285	Dihydrofolate synthase/folylpolyglutamate synthase
EKCPCKJH_01447	CDS	663	dedD			Cell division protein DedD
EKCPCKJH_01448	CDS	489	cvpA		COG1286	Colicin V production protein
EKCPCKJH_01449	CDS	1518	purF	2.4.2.14	COG0034	Amidophosphoribosyltransferase
EKCPCKJH_01450	CDS	570	ubiX	2.5.1.129	COG0163	Flavin prenyltransferase UbiX
EKCPCKJH_01451	CDS	783	argT		COG0834	Lysine/arginine/ornithine-binding periplasmic protein
EKCPCKJH_01452	CDS	783	hisJ		COG0834	Histidine-binding periplasmic protein
EKCPCKJH_01453	CDS	687	hisQ		COG4215	Histidine transport system permease protein HisQ
EKCPCKJH_01454	CDS	717	hisM		COG4160	Histidine transport system permease protein HisM
EKCPCKJH_01455	CDS	774	hisP		COG4598	Histidine transport ATP-binding protein HisP
EKCPCKJH_01456	CDS	903				ISNCY family transposase ISRor2
EKCPCKJH_01457	CDS	894				Epimerase family protein
EKCPCKJH_01458	CDS	363	folX	5.1.99.7	COG1539	Dihydroneopterin triphosphate 2'-epimerase
EKCPCKJH_01459	CDS	648	yfcG	1.8.4.-	COG0625	Disulfide-bond oxidoreductase YfcG
EKCPCKJH_01460	CDS	645	yfcF	2.5.1.18	COG0625	Glutathione S-transferase YfcF
EKCPCKJH_01461	CDS	552	yfcE	3.1.4.-	COG0622	Phosphodiesterase YfcE
EKCPCKJH_01462	CDS	543	yfcD	3.6.-.-		putative Nudix hydrolase YfcD
EKCPCKJH_01463	CDS	1479				hypothetical protein
